id,nombre,descripcion,tecnologia_nueva
1,Python,general-purpose programming language,35
2,R,programming language for statistical analysis,55
3,C++,general-purpose programming language,35
4,Java,object-oriented programming language,79
5,MATLAB,numerical computing environment,120
6,JavaScript,text-based open standard designed for human-readable data interchange,19
7,Perl,interpreted programming language first released in 1987,197
8,Lua,lightweight programming language,2
9,SQL,"relational database language that allows to extract from data tables a series of records with selection, sorting and computation criteria, or to update, delete or add records",17
10,C,chemical element with symbol C and atomic number 6; common element of all known life,154
11,Fortran,general-purpose programming language,35
12,C#,multi-paradigm (object-oriented) programming language,79
13,Visual Basic,legacy programming language by Microsoft,198
14,ML,country in West Africa,176
15,Modula-3,programming language,2
16,Hoc,"team sport played on ice using sticks, skates, and a puck",95
17,Lisp,functional programming language based on the lambda calculus,27
18,SemQL,,-1
19,Standard ML,programming language,2
20,Scheme,dialect of the Lisp programming language,4
21,COBOL,programming language with English-like syntax,177
22,Pico,male given name,1
23,Haskell,purely functional programming language,189
24,MetaOCaml,,-1
25,OCaml,extension of the Caml programming language,105
26,Prolog,programming language that uses first order logic,0
27,Octave,male given name,1
28,ActionScript,object-oriented programming language,79
29,Clojure,dialect of the Lisp programming language,4
30,Common Lisp,ANSI-standardized dialect of Lisp,188
31,E,one of the four cardinal directions,96
32,Erlang,programming language,2
33,Go,state in the Central-West Region of Brazil,45
34,PHP,scripting language focused on web development,61
35,Rebol,programming language designed by Carl Sassenrath,114
36,Ruby,female given name,6
37,Scala,family name,5
38,Cayenne,commune and capital city of French Guiana,121
39,Flow-Caml,,-1
40,JFlow,Indonesian rapper,68
41,Jif,file format,43
42,Java-K,species of plant,185
43,Eqlog,,-1
44,FOOPS,Code for FOOPS! the OEG FAIR ontologies validator,153
45,FP,complexity class,199
46,OBJ,grammatical case,41
47,OBJ2,programming language,2
48,Koka,"city in Shiga Prefecture, Japan",147
49,JVML,,-1
50,Pascal,male given name,1
51,SML,US record label; imprint of Sony Music Entertainment US Latin LLC,18
52,STAL,family name,5
53,TAL,unisex given name,26
54,Julia,female given name,6
55,Matlab,numerical computing environment,120
56,Gofer,TCP/IP application layer protocol,75
57,SAS,"flag-carrier airline of Denmark, Norway and Sweden",136
58,Scratch,programming language learning environment,2
59,Cecil,male given name,1
60,Eiffel,programming language,2
61,Caml,protein-coding gene in the species Homo sapiens,13
62,CeML,association,88
63,Epic,American record label,18
64,FCMC,,-1
65,Facile,2018 song by SCH,14
66,ID,island country in Southeast Asia and Oceania,175
67,LML,programming language,2
68,Miranda,female given name,6
69,Multilisp,"functional programming language and dialect of Scheme,",189
70,Opal,female given name,6
71,RUFL,family name,5
72,Sisal,species of plant,185
73,Stoffel,family name,5
74,Trafola,,-1
75,Java Bytecode,instruction set of the Java virtual machine,140
76,Typed Assembly Language,specific type of assembly language,36
77,InterLisp,dialect of the Lisp programming language,4
78,POST-Prolog,,-1
79,Prolog2,,-1
80,BASIC-PLUS,BASIC dialect,159
81,FORTRAN,general-purpose programming language,35
82,ProbLog,family of gnathostomulids,58
83,Clean,programming language,2
84,F#,Microsoft programming language,94
85,MSIL,programming language,2
86,Managed C++,now-deprecated set of language extensions for C++,170
87,VB,legacy programming language by Microsoft,198
88,Rust,memory-safe programming language without garbage collection,172
89,Lilac,,-1
90,SPSS,statistical software suite,55
91,F⋆,,-1
92,Groovy,2022 video game developed by Michael Menendez,163
93,SmallEiffel,,-1
94,STG,11th level entity in the taxonomy of the Alps according to the International Standardized Mountain Subdivision of the Alps (SOIUSA),97
95,LPG,mammalian proteins found in Homo sapiens,13
96,PROLOG,programming language that uses first order logic,0
97,Datalog,declarative logic programming language,139
98,Dyna,given name,42
99,ICL,"public research university located in London, United Kingdom",52
100,PRISM,2013 album by Katy Perry,89
101,aProbLog,,-1
102,Mixwell,,-1
103,RL,2015 video game,7
104,Refal,functional programming language oriented toward symbolic computations,189
105,Spec#,programming language with specification language features that extends the capabilities of the C# programming language,167
106,Cython,programming language compatible with Python,184
107,Assembly,any low-level programming language in which there is a very strong correspondence between the instructions in the language and the architecture's machine code instructions,36
108,CakeML,,-1
109,Racket,"a coercive, fraudulent, extortionary, or otherwise illegal coordinated scheme",51
110,Smalltalk,programming language,2
111,XAK,video game series,85
112,Curry,family name,5
113,SNOBOL4,programming language tailored to complex pattern matching and text manipulation,191
114,PL/SQL,"One of the technologies in Oracle Database, a programming language that combines SQL syntax",81
115,Unix Shell Scripting,,-1
116,2P-Kt,,-1
117,AKL,language spoken in the province of Aklan on the island of Panay in the Philippines,174
118,Algol-W,programming language based on a proposal for ALGOL X,122
119,Andorra Kernel Language,,-1
120,Andorra Prolog,,-1
121,CHIP,given name,42
122,Concurrent Prolog,programming language derived from Prolog,67
123,Godel,family name,5
124,Kotlin,general-purpose programming language derived from Java,35
125,LIFE,American magazine published 1883-2000,119
126,Lambda Prolog,"logic programming language featuring polymorphic typing, modular programming",25
127,Logtalk,object-oriented logic programming language that extends and leverages the Prolog language,67
128,Mercury,automobile marque of the Ford Motor Company,92
129,Oz,country in Oceania,3
130,Parlog,programming language,2
131,Picat,family name,5
132,RackLog,,-1
133,TypeScript,"programming language, superset of JavaScript that compiles to JavaScript",83
134,Dafny,programming language,2
135,λML_i,,-1
136,Objective Caml,extension of the Caml programming language,105
137,Maple,family name,5
138,AProlog,,-1
139,Elf,family name,5
140,TYPOL,"system of descriptive information for an arrangement or division of objects into groups based on characteristics, which the objects have in common",62
141,iProlog,,-1
142,mini-ML,scientific article published in January 1980,31
143,Java Card,Smart card,64
144,Assembly Language,any low-level programming language in which there is a very strong correspondence between the instructions in the language and the architecture's machine code instructions,36
145,BASIC,"programming language for beginners, mainly using familiar English words or abbreviations of them",117
146,Shell Scripting,"script written for the shell, or command line interpreter, of an operating system",20
147,Coq,chemical compound,11
148,CAML,protein-coding gene in the species Homo sapiens,13
149,GOAL,idea of the future or result that a person or group wants to achieve,69
150,Gwendolen,female given name,6
151,Ada,female given name,6
152,GWENDOLEN,female given name,6
153,Delphi,"programming language (dialect of Object Pascal, used in Embarcadero Delphi)",2
154,Rexx,interpreted programming language,2
155,Tcl,Chinese multinational technology company,46
156,ClassicJava,,-1
157,MzScheme,,-1
158,AspectJ,aspect-oriented programming (AOP) extension created at PARC for the Java programming language,60
159,BABEL,multilingual semantic network and encyclopedic dictionary,90
160,Simple BABEL,,-1
161,Simple Assembly Language,,-1
162,ASP,family name,5
163,Flora-2,open source semantic rule-based system for knowledge representation and reasoning,44
164,LPS,class of molecules found in the outer membrane of Gram-negative bacteria,37
165,Lexon,"building in Queen Anne's County, Maryland, United States",142
166,PENGASP,,-1
167,Solidity,object-oriented programming language for writing smart contracts.,79
168,PiCAT,family name,5
169,Mathematica,sequence of instructions to perform a task,126
170,Assembly language,any low-level programming language in which there is a very strong correspondence between the instructions in the language and the architecture's machine code instructions,36
171,Kanren,Tang dynasty person CBDB = 139913,112
172,AspectC,aspect-oriented extension to C and C++,60
173,AspectC++,aspect-oriented extension to C and C++,60
174,Movec,"Wikidata tool to move or copy a statement from one entity to another, or to change the property",66
175,Algol,family of imperative computer programming languages,186
176,GNU Octave,numerical computation software,10
177,Ginger,female given name,6
178,Agda,"dependently typed, purely functional programming language and proof assistant",189
179,Answer Set Prolog,,-1
180,CR-Prolog,,-1
181,Nλ,,-1
182,Ladder Diagram,US patent 11378928,91
183,Lazy ML,programming language,2
184,FORTRAN IV,1961 edition of the Fortran programming language standard,49
185,Idris2,,-1
186,Linear Haskell,,-1
187,Seq,heuristic for sourcing Wikidata statements from known dates of other events which occurred before or after this event,162
188,UnityScript,,-1
189,IMP,grammatical mood that expresses a command or request,33
