id,nombre,descripcion,cluster,es_lenguaje
1,Python,,8,True
2,R,,8,True
3,C++,,8,True
4,Java,,8,True
5,MATLAB,,8,True
6,JavaScript,,8,True
7,Perl,,8,True
8,Lua,,8,True
9,SQL,,8,True
10,C,,8,True
11,Fortran,,8,True
12,C#,,8,True
13,Visual Basic,,8,True
14,ML,,8,True
15,Modula-3,,8,True
16,Hoc,,1,False
17,Lisp,,8,True
18,SemQL,,8,True
19,Standard ML,,8,True
20,Scheme,,8,True
21,COBOL,,8,True
22,Pico,,8,True
23,Haskell,,8,True
24,MetaOCaml,,8,True
25,OCaml,,8,True
26,Prolog,,8,True
27,Octave,,8,True
28,ActionScript,,8,True
29,Clojure,,8,True
30,Common Lisp,,8,True
31,E,,8,True
32,Erlang,,1,False
33,Go,,8,True
34,PHP,,8,True
35,Rebol,,8,True
36,Ruby,,8,True
37,Scala,,8,True
38,Cayenne,,8,True
39,Flow-Caml,,8,True
40,JFlow,,8,True
41,Jif,,8,True
42,Java-K,,8,True
43,Eqlog,,8,True
44,FOOPS,,8,True
45,FP,,8,True
46,OBJ,,8,True
47,OBJ2,,8,True
48,Koka,,1,False
49,JVML,,8,True
50,Pascal,,8,True
51,SML,,8,True
52,STAL,,8,True
53,TAL,,8,True
54,Julia,,8,True
55,Matlab,,8,True
56,Gofer,,8,True
57,SAS,,8,True
58,Scratch,,8,True
59,Cecil,,8,True
60,Eiffel,,8,True
61,Caml,,8,True
62,CeML,,8,True
63,Epic,,8,True
64,FCMC,,1,False
65,Facile,,8,True
66,ID,,8,True
67,LML,,8,True
68,Miranda,,8,True
69,Multilisp,,8,True
70,Opal,,8,True
71,RUFL,,8,True
72,Sisal,,8,True
73,Stoffel,,8,True
74,Trafola,,8,True
75,Java Bytecode,,8,True
76,Typed Assembly Language,,8,True
77,InterLisp,,8,True
78,POST-Prolog,,8,True
79,Prolog2,,8,True
80,BASIC-PLUS,,1,False
81,FORTRAN,,8,True
82,ProbLog,,8,True
83,Clean,,8,True
84,F#,,8,True
85,MSIL,,8,True
86,Managed C++,,8,True
87,VB,,8,True
88,Rust,,8,True
89,Lilac,,8,True
90,SPSS,,8,True
91,F⋆,,8,True
92,Groovy,,8,True
93,SmallEiffel,,8,True
94,STG,,8,True
95,LPG,,8,True
96,PROLOG,,1,False
97,Datalog,,8,True
98,Dyna,,8,True
99,ICL,,8,True
100,PRISM,,8,True
101,aProbLog,,8,True
102,Mixwell,,8,True
103,RL,,8,True
104,Refal,,8,True
105,Spec#,,8,True
106,Cython,,8,True
107,Assembly,,8,True
108,CakeML,,8,True
109,Racket,,8,True
110,Smalltalk,,8,True
111,XAK,,8,True
112,Curry,,1,False
113,SNOBOL4,,8,True
114,PL/SQL,,8,True
115,Unix Shell Scripting,,8,True
116,2P-Kt,,8,True
117,AKL,,8,True
118,Algol-W,,8,True
119,Andorra Kernel Language,,8,True
120,Andorra Prolog,,8,True
121,CHIP,,8,True
122,Concurrent Prolog,,8,True
123,Godel,,8,True
124,Kotlin,,8,True
125,LIFE,,8,True
126,Lambda Prolog,,8,True
127,Logtalk,,8,True
128,Mercury,,1,False
129,Oz,,8,True
130,Parlog,,8,True
131,Picat,,8,True
132,RackLog,,8,True
133,TypeScript,,8,True
134,Dafny,,8,True
135,λML_i,,8,True
136,Objective Caml,,8,True
137,Maple,,8,True
138,AProlog,,8,True
139,Elf,,8,True
140,TYPOL,,8,True
141,iProlog,,8,True
142,mini-ML,,8,True
143,Java Card,,8,True
144,Assembly Language,,1,False
145,BASIC,,8,True
146,Shell Scripting,,8,True
147,Coq,,8,True
148,CAML,,8,True
149,GOAL,,8,True
