id,id_padre,id_hijo
1,76,31
2,76,37
3,76,40
4,76,46
5,76,43
6,76,49
7,76,55
8,76,52
9,76,58
10,76,3
11,76,61
12,76,67
13,76,6
14,76,64
15,76,70
16,76,9
17,76,15
18,76,73
19,76,12
20,76,18
21,76,21
22,76,27
23,76,24
24,76,30
25,76,33
26,76,39
27,76,36
28,76,42
29,76,48
30,76,45
31,76,51
32,76,54
33,76,60
34,76,57
35,76,63
36,76,2
37,76,8
38,74,75
39,76,5
40,76,11
41,76,66
42,76,69
43,76,72
44,76,14
45,76,20
46,76,17
47,76,23
48,76,29
49,76,26
50,76,32
51,76,35
52,76,41
53,76,38
54,76,44
55,76,47
56,76,53
57,76,50
58,76,56
59,76,1
60,76,59
61,76,65
62,76,4
63,76,10
64,76,62
65,76,68
66,76,7
67,75,76
68,76,13
69,76,71
70,76,16
71,76,22
72,76,19
73,76,25
74,76,28
75,76,34
